board,n_parts,used_area,waste_area,board_area,U
1,15,2747757.5,229042.5,2976800.0,0.9230574778285408
2,4,2915220.25,61579.75,2976800.0,0.9793134406073636
3,3,2885510.0,91290.0,2976800.0,0.9693328406342381
4,3,2850550.0,126250.0,2976800.0,0.9575886858371405
5,3,2792942.0,183858.0,2976800.0,0.9382363611932276
6,3,2858031.0,118769.0,2976800.0,0.9601017871539909
7,4,2900920.0,75880.0,2976800.0,0.9745095404461166
8,4,2897920.0,78880.0,2976800.0,0.9735017468422467
9,3,2868040.0,108760.0,2976800.0,0.9634641225477022
10,3,2817810.0,158990.0,2976800.0,0.9465902983069068
11,3,2808090.0,168710.0,2976800.0,0.9433250470303682
12,3,2834094.0,142706.0,2976800.0,0.9520606019887127
13,4,2807668.5,169131.5,2976800.0,0.9431834520290244
14,4,2858294.0,118506.0,2976800.0,0.9601901370599302
15,4,2827234.0,149566.0,2976800.0,0.9497561139478635
16,5,2864770.0,112030.0,2976800.0,0.962365627519484
17,5,2835350.0,141450.0,2976800.0,0.9524825315775329
18,4,2880192.0,96608.0,2976800.0,0.967546358505778
19,4,2854440.0,122360.0,2976800.0,0.9588954582101585
20,5,2821120.0,155680.0,2976800.0,0.9477022305831766
21,7,2800460.5,176339.5,2976800.0,0.9407620599301263
22,6,2881353.5,95446.5,2976800.0,0.9679365425960763
23,5,2833584.25,143215.75,2976800.0,0.9518893610588551
24,5,2776066.25,200733.75,2976800.0,0.9325672702230583
25,5,2882500.5,94299.5,2976800.0,0.9683218556839559
26,4,2863160.5,113639.5,2976800.0,0.9618249462510078
27,5,2885619.75,91180.25,2976800.0,0.9693697090835797
28,4,2762365.0,214435.0,2976800.0,0.927964592851384
29,7,2807645.25,169154.75,2976800.0,0.9431756416285945
30,5,2797282.0,179518.0,2976800.0,0.9396943026068261
31,4,2910208.0,66592.0,2976800.0,0.9776296694436979
32,4,2833898.75,142901.25,2976800.0,0.9519950114216609
33,6,2869071.75,107728.25,2976800.0,0.9638107195646332
34,4,2742312.0,234488.0,2976800.0,0.9212281644719161
35,5,2855395.0,121405.0,2976800.0,0.9592162725073905
36,4,2871872.0,104928.0,2976800.0,0.9647514109110454
37,5,2860556.0,116244.0,2976800.0,0.9609500134372481
38,4,2808698.0,168102.0,2976800.0,0.9435292932007525
39,5,2916432.0,60368.0,2976800.0,0.9797205052405268
40,6,2867584.0,109216.0,2976800.0,0.963310937919914
41,6,2800381.75,176418.25,2976800.0,0.9407356053480247
42,4,2759623.0,217177.0,2976800.0,0.9270434694974469
43,5,2811312.0,165488.0,2976800.0,0.9444074173609245
44,5,2885732.5,91067.5,2976800.0,0.9694075853265252
45,5,2792209.75,184590.25,2976800.0,0.937990375571083
46,6,2794105.75,182694.25,2976800.0,0.9386273011287288
47,4,2807050.25,169749.75,2976800.0,0.942975762563827
48,5,2833444.5,143355.5,2976800.0,0.9518424146734749
49,5,2793365.25,183434.75,2976800.0,0.9383785440741736
50,6,2821983.75,154816.25,2976800.0,0.9479923911582908
51,10,2756112.0,220688.0,2976800.0,0.9258640150497178
52,7,2815340.5,161459.5,2976800.0,0.9457607162053211
53,6,2810350.1,166449.8999999999,2976800.0,0.9440842851384037
54,8,2846857.0,129943.0,2976800.0,0.9563480919107766
55,6,2831273.75,145526.25,2976800.0,0.9511131920182747
56,9,2771476.25,205323.75,2976800.0,0.9310253460091373
57,7,2691822.75,284977.25,2976800.0,0.9042672500671862
58,6,2700703.5,276096.5,2976800.0,0.9072505710830422
59,7,2780619.5,196180.5,2976800.0,0.9340968489653318
60,9,2753626.25,223173.75,2976800.0,0.9250289740661113
61,6,2858927.9,117872.1000000001,2976800.0,0.9604030838484278
62,6,2802664.0,174136.0,2976800.0,0.9415022843321688
63,7,2786561.5,190238.5,2976800.0,0.9360929521633969
64,6,2843832.6,132967.3999999999,2976800.0,0.9553321015855953
65,7,2839779.0,137021.0,2976800.0,0.9539703708680463
66,6,2814550.0,162250.0,2976800.0,0.9454951625907014
67,6,2733616.5,243183.5,2976800.0,0.9183070747110992
68,6,2800957.5,175842.5,2976800.0,0.9409290177371674
69,5,2810669.0,166131.0,2976800.0,0.944191413598495
70,5,2800180.75,176619.25,2976800.0,0.9406680831765655
71,7,2767323.35,209476.6499999999,2976800.0,0.9296302573233002
72,5,2794606.0,182194.0,2976800.0,0.9387953507121741
73,8,2758342.0,218458.0,2976800.0,0.9266131416285944
74,7,2747312.0,229488.0,2976800.0,0.9229078204783661
75,7,2691211.75,285588.25,2976800.0,0.904061996103198
76,7,2836333.75,140466.25,2976800.0,0.9528130038968019
77,6,2789189.5,187610.5,2976800.0,0.936975779360387
78,5,2690602.5,286197.5,2976800.0,0.9038573300188122
79,7,2626572.0,350228.0,2976800.0,0.8823474872346143
80,7,2694436.5,282363.5,2976800.0,0.9051452902445579
81,8,2798891.75,177908.25,2976800.0,0.9402350678581026
82,8,2746673.0,230127.0,2976800.0,0.9226931604407418
83,7,2746874.5,229925.5,2976800.0,0.9227608505778017
84,7,2761689.0,215111.0,2976800.0,0.927737503359312
85,8,2727496.5,249303.5,2976800.0,0.9162511757592046
86,8,2664848.5,311951.5,2976800.0,0.8952057578607902
87,8,2765390.0,211410.0,2976800.0,0.9289807847352862
88,7,2534350.5,442449.5,2976800.0,0.8513674079548509
89,8,2818639.25,158160.75,2976800.0,0.9468688692555765
90,6,2723728.0,253072.0,2976800.0,0.9149852190271432
91,9,2783612.0,193188.0,2976800.0,0.9351021230851921
92,8,2715894.0,260906.0,2976800.0,0.9123535339962375
93,7,2810322.0,166478.0,2976800.0,0.9440748454716474
94,8,2630899.5,345900.5,2976800.0,0.8838012295081967
95,8,2790267.0,186533.0,2976800.0,0.937337745229777
96,6,2574855.0,401945.0,2976800.0,0.8649741332975007
97,6,2568269.0,408531.0,2976800.0,0.8627616904058049
98,6,2545631.0,431169.0,2976800.0,0.8551568798710024
99,7,2675933.0,300867.0,2976800.0,0.8989293872614889
100,8,2850897.25,125902.75,2976800.0,0.9577053379467885
101,8,2739655.0,237145.0,2976800.0,0.9203355952700887
102,8,2823698.25,153101.75,2976800.0,0.9485683452029025
103,7,2720128.5,256671.5,2976800.0,0.9137760346681
104,8,2739689.0,237111.0,2976800.0,0.9203470169309326
105,8,2699936.0,276864.0,2976800.0,0.9069927438860521
106,6,2558345.0,418455.0,2976800.0,0.8594279091642032
107,8,2583029.0,393771.0,2976800.0,0.8677200349368449
